file_path,alpha,beta,k,measurement,runtime,score
data/inst_tuning/heur059_n_300_m_7867.txt,.20,1.00,60,4,0.5316801071166992,20227
data/inst_tuning/heur059_n_300_m_7867.txt,.20,1.00,60,5,0.5107591152191162,20546
data/inst_tuning/heur059_n_300_m_7867.txt,.40,.60,15,1,0.4955267906188965,25632
data/inst_tuning/heur059_n_300_m_7867.txt,.40,.60,15,2,0.47642087936401367,26128
data/inst_tuning/heur059_n_300_m_7867.txt,.40,.60,15,3,0.48766207695007324,26714
data/inst_tuning/heur059_n_300_m_7867.txt,.40,.60,15,4,0.632368803024292,27078
data/inst_tuning/heur059_n_300_m_7867.txt,.40,.60,15,5,0.5282270908355713,26747
data/inst_tuning/heur059_n_300_m_7867.txt,.40,.60,30,1,0.5189900398254395,21036
data/inst_tuning/heur059_n_300_m_7867.txt,.40,.60,30,2,0.5375621318817139,23271
data/inst_tuning/heur059_n_300_m_7867.txt,.40,.60,30,3,0.5244772434234619,23775
data/inst_tuning/heur059_n_300_m_7867.txt,.40,.60,30,4,0.5748999118804932,24062
data/inst_tuning/heur059_n_300_m_7867.txt,.40,.60,30,5,0.7337827682495117,23991
data/inst_tuning/heur059_n_300_m_7867.txt,.40,.60,45,1,0.5914747714996338,22427
data/inst_tuning/heur059_n_300_m_7867.txt,.40,.60,45,2,0.6511979103088379,23421
data/inst_tuning/heur059_n_300_m_7867.txt,.40,.60,45,3,0.5382430553436279,20324
data/inst_tuning/heur059_n_300_m_7867.txt,.40,.60,45,4,0.6646881103515625,23154
data/inst_tuning/heur059_n_300_m_7867.txt,.40,.60,45,5,0.6399350166320801,22715
data/inst_tuning/heur059_n_300_m_7867.txt,.40,.60,60,1,0.6402270793914795,22715
data/inst_tuning/heur059_n_300_m_7867.txt,.40,.60,60,2,0.5595810413360596,21067
data/inst_tuning/heur059_n_300_m_7867.txt,.40,.60,60,3,0.6734027862548828,22185
data/inst_tuning/heur059_n_300_m_7867.txt,.40,.60,60,4,0.6328098773956299,21615
data/inst_tuning/heur059_n_300_m_7867.txt,.40,.60,60,5,0.5438668727874756,21413
data/inst_tuning/heur059_n_300_m_7867.txt,.40,.80,15,1,0.5432620048522949,26998
data/inst_tuning/heur059_n_300_m_7867.txt,.40,.80,15,2,0.5274698734283447,26943
data/inst_tuning/heur059_n_300_m_7867.txt,.40,.80,15,3,0.5591518878936768,27095
data/inst_tuning/heur059_n_300_m_7867.txt,.40,.80,15,4,0.9168930053710938,27041
